CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
13469,56,42,11,0,10,793,15,False,True,False,False,True
20119,54,60,5,3,9,610,24,True,False,True,False,True
48412,31,12,2,9,7,222,30,True,False,False,False,False
42126,33,22,17,5,25,648,20,False,True,False,True,False
55120,39,28,30,2,25,983,22,False,True,False,True,False
47576,24,16,9,1,30,694,22,False,False,False,True,False
62889,43,58,7,0,23,273,9,False,False,True,False,True
33921,42,50,20,3,13,976,4,True,False,True,False,True
20862,54,15,25,4,13,944,21,False,False,False,False,True
5047,18,29,7,7,2,444,11,False,True,False,False,False
50728,49,13,13,7,22,339,9,False,False,False,False,False
51844,53,38,3,1,29,291,7,False,True,False,False,True
20744,53,54,26,5,11,572,3,False,False,False,False,False
55065,20,32,26,9,18,554,27,False,False,True,False,False
30966,58,39,13,4,10,750,18,False,False,False,True,False
19536,50,35,24,7,26,882,25,False,False,False,False,True
15461,50,8,10,1,1,368,22,True,True,False,False,True
51267,51,24,11,5,22,127,15,True,False,True,True,False
48111,34,35,14,10,22,899,4,False,False,False,False,False
52407,21,31,25,2,21,103,29,False,False,False,True,False
11624,21,34,26,10,12,479,16,True,False,False,False,True
64187,41,41,13,7,27,150,17,False,False,False,False,False
22597,61,48,19,7,28,811,12,False,False,True,True,False
60195,56,39,1,5,12,492,11,False,False,False,False,True
17285,64,48,20,3,22,992,29,True,False,True,False,True
59089,44,42,4,8,23,391,7,False,False,False,True,False
62313,43,2,3,10,19,731,24,False,False,False,False,True
30801,62,15,28,2,2,540,9,False,True,False,True,False
33944,28,26,9,7,19,930,20,False,False,True,True,False
49033,18,55,4,6,29,188,30,False,False,True,True,False
58480,50,58,20,7,25,976,9,False,False,True,True,False
8454,61,13,29,0,8,788,18,True,False,False,False,True
34720,36,51,23,3,5,786,15,False,False,True,False,True
9438,25,9,22,9,24,307,20,True,False,True,False,False
19314,44,52,25,6,18,330,2,False,True,False,True,False
9615,36,1,19,1,4,940,12,False,False,False,False,False
52490,62,52,4,10,1,675,25,True,False,False,False,False
37816,64,41,15,2,3,432,28,False,False,False,True,False
46080,53,10,27,2,29,141,2,False,False,False,True,False
16340,56,2,24,2,21,909,28,False,False,True,False,False
58361,51,39,27,6,22,503,20,False,True,False,False,True
63871,27,25,3,6,30,876,15,False,True,False,True,False
7475,55,1,7,7,27,577,27,False,False,False,True,False
31582,32,37,3,10,26,824,7,True,True,False,False,True
51558,53,56,5,7,20,561,10,False,False,True,True,False
63932,36,25,2,4,27,486,24,False,False,False,True,False
60707,65,56,16,7,29,105,7,True,True,False,False,False
64170,49,49,27,6,22,287,19,False,False,True,False,False
60166,63,17,6,3,23,450,6,False,False,True,True,False
47054,62,51,22,2,26,426,2,False,True,False,True,False
54189,61,55,2,10,1,113,12,True,False,False,True,False
58109,43,14,30,6,21,432,6,False,False,False,False,False
63884,32,24,27,8,24,386,15,True,True,False,False,True
1115,48,22,18,4,5,391,8,False,False,False,False,False
55012,60,1,4,6,22,436,28,True,False,False,True,False
38477,20,29,27,0,16,337,21,False,False,False,False,True
43534,48,1,1,5,27,566,25,False,False,True,False,True
34598,24,52,10,1,13,214,13,False,False,True,True,False
25883,21,28,27,3,7,275,24,True,True,False,False,False
38389,29,29,15,3,13,651,14,True,False,False,False,True
59295,62,57,8,5,19,992,22,False,True,False,False,False
38145,48,26,26,5,28,732,4,False,False,False,False,True
39480,50,15,8,9,1,946,6,True,False,True,True,False
30059,37,21,27,9,24,818,26,False,True,False,False,True
31605,50,25,18,8,22,655,10,False,False,False,False,False
2280,48,34,12,4,29,509,6,False,True,False,False,True
35073,32,40,22,1,22,646,30,False,False,False,False,False
41176,32,2,27,2,28,594,6,False,False,False,True,False
52906,51,48,29,10,18,444,11,True,False,True,False,False
48669,63,38,4,9,10,189,9,False,True,False,True,False
49575,18,29,6,10,30,698,30,False,False,False,True,False
57702,50,7,16,2,27,297,28,False,False,True,True,False
35667,20,24,9,0,19,963,17,False,True,False,True,False
55627,33,44,30,10,23,833,28,False,True,False,False,False
45554,38,22,8,9,28,446,29,False,True,False,True,False
41944,46,1,14,6,0,564,24,False,False,True,False,False
3211,43,13,21,2,20,413,6,True,False,False,True,False
6130,64,60,13,6,14,664,1,False,False,False,False,True
61408,52,37,20,1,24,991,22,False,False,False,True,False
3844,61,23,3,5,10,770,20,False,False,False,True,False
52503,55,13,5,6,21,797,15,False,True,False,True,False
43294,65,28,27,1,5,227,21,True,False,False,False,True
58120,41,51,28,0,27,614,14,False,False,True,True,False
57338,41,12,10,9,25,706,21,False,False,True,True,False
8932,64,6,28,7,0,455,16,False,False,False,False,True
60795,24,50,1,10,20,967,12,True,False,True,False,True
38383,57,32,9,0,10,296,29,False,True,False,False,True
